Lenency;Linearity;Similarity;NMesoPatterns;NSpatialPatterns;Symmetry;Inner Similarity;Fitness;Score
1.0;0.8333333333333334;0.4725274725274725;0.16666666666666666;0.25;0.2857142857142857;1.0;0.8126962355382283;1.0
1.0;0.7222222222222222;0.46153846153846156;0.3333333333333333;0.25;0.14285714285714285;1.0;0.774794208415636;1.0
1.0;0.75;0.5604395604395604;0.3333333333333333;0.6666666666666666;0.375;1.0;0.8007974192205423;1.0
1.0;0.9;0.4835164835164836;0.16666666666666666;0.3333333333333333;0.125;1.0;0.7600656177092397;1.0
1.0;0.9130434782608696;0.5274725274725275;0.3333333333333333;0.4583333333333333;0.13333333333333333;1.0;0.8091583879723443;1.0
1.0;0.9444444444444444;0.6043956043956044;0.16666666666666666;0.25;0.16666666666666666;1.0;0.8468248499327473;1.0
1.0;0.8846153846153846;0.46153846153846156;0.3333333333333333;0.5833333333333334;0.3;1.0;0.7943736631865028;1.0
1.0;0.8636363636363636;0.4835164835164836;0.16666666666666666;0.4166666666666667;0.2222222222222222;1.0;0.7840155299004539;1.0
1.0;0.6470588235294117;0.46153846153846156;0.16666666666666666;0.20833333333333334;0.14285714285714285;1.0;0.7496760335423805;1.0
1.0;0.782608695652174;0.41758241758241765;0.16666666666666666;0.4583333333333333;0.2857142857142857;1.0;0.8009637789480579;1.0
1.0;0.8181818181818181;0.5494505494505495;0.16666666666666666;0.4166666666666667;0.10526315789473684;1.0;0.7725737417026799;1.0
1.0;0.8;0.4725274725274725;0.16666666666666666;0.5416666666666666;0.125;1.0;0.7939385685859965;1.0
1.0;0.9523809523809523;0.41758241758241765;0.16666666666666666;0.375;0.3333333333333333;1.0;0.817734068458105;1.0
1.0;0.9230769230769231;0.43956043956043955;0.0;0.5833333333333334;0.16666666666666666;1.0;0.7634203763083598;1.0
1.0;0.7894736842105263;0.4835164835164836;0.3333333333333333;0.2916666666666667;0.13333333333333333;1.0;0.8049534307783979;1.0
1.0;0.6086956521739131;0.46153846153846156;0.3333333333333333;0.4583333333333333;0.18181818181818182;1.0;0.7882062799636238;1.0
1.0;0.631578947368421;0.5824175824175825;0.3333333333333333;0.2916666666666667;0.18181818181818182;1.0;0.8559160307261382;1.0
1.0;0.85;0.5274725274725275;0.16666666666666666;0.3333333333333333;0.25;1.0;0.7686534800895408;1.0
1.0;0.6956521739130435;0.4505494505494505;0.3333333333333333;0.4583333333333333;0.23529411764705882;1.0;0.793460652878659;1.0
1.0;0.7727272727272727;0.5274725274725275;0.16666666666666666;0.4166666666666667;0.25;1.0;0.7944551718898973;1.0
1.0;0.8125;0.4835164835164836;0.0;0.16666666666666666;0.2;1.0;0.822167649500486;1.0
1.0;0.7894736842105263;0.5934065934065934;0.16666666666666666;0.2916666666666667;0.13333333333333333;1.0;0.7908234757067396;1.0
1.0;0.8461538461538461;0.4505494505494505;0.16666666666666666;0.5833333333333334;0.25;1.0;0.7511280641400324;1.0
1.0;0.75;0.5604395604395604;0.3333333333333333;0.16666666666666666;0.3333333333333333;1.0;0.8437585030212806;1.0
1.0;0.8333333333333334;0.4835164835164836;0.16666666666666666;0.5;0.0;1.0;0.8145138235260807;1.0
1.0;0.9047619047619048;0.6153846153846154;0.0;0.375;0.14285714285714285;1.0;0.8496937271160625;1.0
1.0;0.8846153846153846;0.4835164835164836;0.3333333333333333;0.5833333333333334;0.2222222222222222;1.0;0.7889210073097124;1.0
1.0;0.8421052631578947;0.5494505494505495;0.0;0.2916666666666667;0.13333333333333333;1.0;0.806966714533329;1.0
0.9895519228117929;0.8181818181818181;0.5604395604395604;0.3333333333333333;0.4166666666666667;0.16666666666666666;1.0;0.8504798400062248;1.0
1.0;0.7222222222222222;0.5494505494505495;0.3333333333333333;0.25;0.13333333333333333;1.0;0.8033739773218176;1.0
1.0;0.736842105263158;0.5494505494505495;0.3333333333333333;0.2916666666666667;0.0;1.0;0.8205119958010952;1.0
1.0;0.6666666666666667;0.37362637362637363;0.16666666666666666;0.375;0.47058823529411764;1.0;0.7507264653154273;1.0
1.0;0.8181818181818181;0.5934065934065934;0.0;0.4166666666666667;0.23529411764705882;1.0;0.7946484738267059;1.0
1.0;0.8;0.4945054945054945;0.16666666666666666;0.5416666666666666;0.1111111111111111;1.0;0.7898441318188633;1.0
1.0;0.8095238095238095;0.4725274725274725;0.3333333333333333;0.375;0.2222222222222222;1.0;0.7956808785928573;1.0
1.0;0.8333333333333334;0.4835164835164836;0.16666666666666666;0.25;0.125;1.0;0.7704921560336604;1.0
1.0;0.736842105263158;0.5054945054945055;0.16666666666666666;0.2916666666666667;0.0;1.0;0.8169406444145475;1.0
1.0;0.8076923076923077;0.4945054945054945;0.0;0.5833333333333334;0.08695652173913043;1.0;0.7834824404065197;1.0
1.0;0.6666666666666667;0.4065934065934066;0.16666666666666666;0.375;0.21052631578947367;1.0;0.7467559767476406;1.0
1.0;0.8571428571428572;0.4505494505494505;0.16666666666666666;0.6666666666666666;0.21052631578947367;1.0;0.7574143236313204;1.0
1.0;0.9;0.5274725274725275;0.16666666666666666;0.3333333333333333;0.2857142857142857;1.0;0.7733181693761496;1.0
1.0;0.88;0.5274725274725275;0.16666666666666666;0.5416666666666666;0.125;1.0;0.7925192019234751;1.0
1.0;0.95;0.4725274725274725;0.16666666666666666;0.3333333333333333;0.2222222222222222;1.0;0.7821064217919784;1.0
1.0;0.85;0.46153846153846156;0.16666666666666666;0.3333333333333333;0.14285714285714285;1.0;0.7661084568917899;1.0
1.0;0.8387096774193549;0.46153846153846156;0.16666666666666666;0.7916666666666666;0.36363636363636365;1.0;0.7441732198569286;1.0
1.0;0.9310344827586207;0.4945054945054945;0.0;0.7083333333333334;0.2857142857142857;1.0;0.7803461241161369;1.0
1.0;0.7222222222222222;0.5274725274725275;0.16666666666666666;0.25;0.23529411764705882;1.0;0.7669976876615456;1.0
1.0;0.8333333333333334;0.5164835164835165;0.16666666666666666;0.25;0.11764705882352941;1.0;0.8126008258411644;1.0
1.0;0.8888888888888888;0.4725274725274725;0.3333333333333333;0.625;0.19047619047619047;1.0;0.7811779311297455;1.0
1.0;0.75;0.4505494505494505;0.16666666666666666;0.3333333333333333;0.25;1.0;0.784849413505783;1.0
1.0;0.8260869565217391;0.4945054945054945;0.16666666666666666;0.4583333333333333;0.25;1.0;0.7690463456037804;1.0
1.0;0.55;0.5714285714285714;0.16666666666666666;0.3333333333333333;0.21052631578947367;1.0;0.7959017260498282;1.0
1.0;0.9;0.5494505494505495;0.0;0.75;0.3;1.0;0.7951422980114238;1.0
1.0;0.8275862068965517;0.4285714285714286;0.16666666666666666;0.7083333333333334;0.26666666666666666;1.0;0.8015462663389601;1.0
0.9951369404020198;0.9545454545454546;0.5934065934065934;0.0;0.4166666666666667;0.23529411764705882;1.0;0.8045500964314645;1.0
1.0;0.75;0.5384615384615384;0.16666666666666666;0.3333333333333333;0.125;1.0;0.7961711799112878;1.0
1.0;0.7083333333333333;0.5604395604395604;0.3333333333333333;0.5;0.3333333333333333;1.0;0.8186666140336832;1.0
1.0;0.8421052631578947;0.43956043956043955;0.3333333333333333;0.2916666666666667;0.25;1.0;0.7618206778696675;1.0
1.0;0.7916666666666666;0.4835164835164836;0.16666666666666666;0.5;0.15384615384615385;1.0;0.8396662700500597;1.0
