Leniency;Linearity;Similarity;NMesoPatterns;NSpatialPatterns;Symmetry;Inner Similarity;Fitness;Score
0.6147005027649785;0.6111111111111112;0.4835164835164836;0.5;0.25;0.15384615384615385;0.5070401371308674;0.8292981920737309;1.0
0.6122531349555786;0.9444444444444444;0.5824175824175825;0.3333333333333333;0.25;0.2;0.7410461794351844;0.8772802842852379;1.0
0.6219315234431132;0.6875;0.6923076923076923;0.3333333333333333;0.16666666666666666;0.4;0.5765225209954501;0.9005521710360895;1.0
0.7460929714802402;0.875;0.7582417582417582;0.3333333333333333;0.16666666666666666;0.25;0.6229740503326108;0.9384122821013436;1.0
0.6674908136090971;0.7857142857142857;0.7032967032967034;0.3333333333333333;0.08333333333333333;0.25;0.560955469131536;0.9211332859683887;1.0
0.8311488147084409;0.6666666666666667;0.9010989010989011;0.3333333333333333;0.125;0.6666666666666666;0.4016957441815083;0.9806115201441079;1.0
0.6422476047209895;0.6818181818181819;0.4725274725274725;0.3333333333333333;0.4166666666666667;0.11764705882352941;0.7099082336497905;0.7719338868649213;1.0
0.6019089275836232;0.8181818181818181;0.4065934065934066;0.3333333333333333;0.4166666666666667;0.18181818181818182;0.626351209536827;0.807344738207195;1.0
0.721574702823594;0.9285714285714286;0.6373626373626373;0.16666666666666666;0.08333333333333333;0.0;0.5450466026171847;0.8400354624576298;1.0
0.7105685108681499;0.8;0.7362637362637363;0.3333333333333333;0.125;0.4444444444444444;0.5983529846328118;0.938057185923532;1.0
0.8806750714706394;0.8666666666666667;0.8791208791208791;0.3333333333333333;0.125;0.6666666666666666;0.624121249149449;0.9725615892752085;1.0
NaN;0.7142857142857143;0.8791208791208791;0.3333333333333333;0.08333333333333333;0.8;0.6177115405129198;0.9705160657687294;1.0
0.524327921875561;0.8421052631578947;0.46153846153846156;0.16666666666666666;0.2916666666666667;0.1;0.6780865560595597;0.7686385897832136;1.0
0.6464385746319357;0.875;0.7362637362637363;0.3333333333333333;0.16666666666666666;0.8571428571428571;0.6034647850519382;0.9161157400637518;1.0
0.8084690506291412;0.9285714285714286;0.9120879120879121;0.3333333333333333;0.08333333333333333;0.2857142857142857;0.5;0.9903403148556034;1.0
0.5991569690870991;0.8333333333333334;0.6923076923076923;0.3333333333333333;0.25;0.25;0.5649744997218628;0.9007978055141683;1.0
0.7891897394972662;0.6666666666666667;0.8351648351648352;0.3333333333333333;0.125;0.6666666666666666;0.5774938417527219;0.97088998382197;1.0
0.6760816902179744;0.7857142857142857;0.8021978021978022;0.3333333333333333;0.08333333333333333;0.5;0.636892028672123;0.9479296146135305;1.0
1.053480395078659;0.4375;0.8461538461538461;0.3333333333333333;0.16666666666666666;0.3333333333333333;0.5014623207179175;0.9508805209858238;1.0
0.8783376278422633;0.7333333333333334;0.8241758241758241;0.3333333333333333;0.125;0.4;0.515790534678865;0.9631473855124905;1.0
0.8037191798095471;0.7142857142857143;0.9230769230769231;0.3333333333333333;0.08333333333333333;1.0;0.3545301750964147;0.985929231789225;1.0
0.4382855609925448;0.55;0.41758241758241765;0.3333333333333333;0.3333333333333333;0.15384615384615385;0.5107407020560243;0.7674099501695623;1.0
0.6346554792919199;0.9333333333333333;0.6483516483516484;0.3333333333333333;0.125;0.6666666666666666;0.6125621064144796;0.9023252781240945;1.0
0.6427597966603443;0.8888888888888888;0.6373626373626373;0.3333333333333333;0.25;1.0;0.625775178568896;0.893486743082624;1.0
0.811066029520827;0.9333333333333333;0.8681318681318682;0.3333333333333333;0.125;0.75;0.4706514568240531;0.9784187708546424;1.0
0.7214807018315004;0.5;0.8131868131868132;0.3333333333333333;0.25;0.25;0.5787022438871944;0.9232616037947452;1.0
0.6239649854287772;0.8636363636363636;0.5934065934065934;0.3333333333333333;0.4166666666666667;0.35294117647058826;0.6800448792677102;0.8394132250477079;1.0
0.6329648464549378;0.8;0.6813186813186813;0.3333333333333333;0.125;0.2857142857142857;0.5861451079104504;0.9097545066377049;1.0
0.6240833413491277;0.9333333333333333;0.7252747252747253;0.3333333333333333;0.125;0.4;0.5919480311078629;0.9209956683892646;1.0
